Email_address,First_name,Last_name,Course.id,grades,Marks
david@example.com,Dave,Evans,CS101,B,88
dummy0@example.com,DummyFirst0,DummyLast0,CS101,A,70
dummy1@example.com,DummyFirst1,DummyLast1,CS101,A,71
dummy2@example.com,DummyFirst2,DummyLast2,CS101,A,72
dummy3@example.com,DummyFirst3,DummyLast3,CS101,A,73
dummy4@example.com,DummyFirst4,DummyLast4,CS101,A,74
dummy5@example.com,DummyFirst5,DummyLast5,CS101,A,75
dummy6@example.com,DummyFirst6,DummyLast6,CS101,A,76
dummy7@example.com,DummyFirst7,DummyLast7,CS101,A,77
dummy8@example.com,DummyFirst8,DummyLast8,CS101,A,78
dummy9@example.com,DummyFirst9,DummyLast9,CS101,A,79
dummy10@example.com,DummyFirst10,DummyLast10,CS101,A,80
dummy11@example.com,DummyFirst11,DummyLast11,CS101,A,81
dummy12@example.com,DummyFirst12,DummyLast12,CS101,A,82
dummy13@example.com,DummyFirst13,DummyLast13,CS101,A,83
dummy14@example.com,DummyFirst14,DummyLast14,CS101,A,84
dummy15@example.com,DummyFirst15,DummyLast15,CS101,A,85
dummy16@example.com,DummyFirst16,DummyLast16,CS101,A,86
dummy17@example.com,DummyFirst17,DummyLast17,CS101,A,87
dummy18@example.com,DummyFirst18,DummyLast18,CS101,A,88
dummy19@example.com,DummyFirst19,DummyLast19,CS101,A,89
dummy20@example.com,DummyFirst20,DummyLast20,CS101,A,90
dummy21@example.com,DummyFirst21,DummyLast21,CS101,A,91
dummy22@example.com,DummyFirst22,DummyLast22,CS101,A,92
dummy23@example.com,DummyFirst23,DummyLast23,CS101,A,93
dummy24@example.com,DummyFirst24,DummyLast24,CS101,A,94
dummy25@example.com,DummyFirst25,DummyLast25,CS101,A,95
dummy26@example.com,DummyFirst26,DummyLast26,CS101,A,96
dummy27@example.com,DummyFirst27,DummyLast27,CS101,A,97
dummy28@example.com,DummyFirst28,DummyLast28,CS101,A,98
dummy29@example.com,DummyFirst29,DummyLast29,CS101,A,99
dummy30@example.com,DummyFirst30,DummyLast30,CS101,A,70
dummy31@example.com,DummyFirst31,DummyLast31,CS101,A,71
dummy32@example.com,DummyFirst32,DummyLast32,CS101,A,72
dummy33@example.com,DummyFirst33,DummyLast33,CS101,A,73
dummy34@example.com,DummyFirst34,DummyLast34,CS101,A,74
dummy35@example.com,DummyFirst35,DummyLast35,CS101,A,75
dummy36@example.com,DummyFirst36,DummyLast36,CS101,A,76
dummy37@example.com,DummyFirst37,DummyLast37,CS101,A,77
dummy38@example.com,DummyFirst38,DummyLast38,CS101,A,78
dummy39@example.com,DummyFirst39,DummyLast39,CS101,A,79
dummy40@example.com,DummyFirst40,DummyLast40,CS101,A,80
dummy41@example.com,DummyFirst41,DummyLast41,CS101,A,81
dummy42@example.com,DummyFirst42,DummyLast42,CS101,A,82
dummy43@example.com,DummyFirst43,DummyLast43,CS101,A,83
dummy44@example.com,DummyFirst44,DummyLast44,CS101,A,84
dummy45@example.com,DummyFirst45,DummyLast45,CS101,A,85
dummy46@example.com,DummyFirst46,DummyLast46,CS101,A,86
dummy47@example.com,DummyFirst47,DummyLast47,CS101,A,87
dummy48@example.com,DummyFirst48,DummyLast48,CS101,A,88
dummy49@example.com,DummyFirst49,DummyLast49,CS101,A,89
dummy50@example.com,DummyFirst50,DummyLast50,CS101,A,90
dummy51@example.com,DummyFirst51,DummyLast51,CS101,A,91
dummy52@example.com,DummyFirst52,DummyLast52,CS101,A,92
dummy53@example.com,DummyFirst53,DummyLast53,CS101,A,93
dummy54@example.com,DummyFirst54,DummyLast54,CS101,A,94
dummy55@example.com,DummyFirst55,DummyLast55,CS101,A,95
dummy56@example.com,DummyFirst56,DummyLast56,CS101,A,96
dummy57@example.com,DummyFirst57,DummyLast57,CS101,A,97
dummy58@example.com,DummyFirst58,DummyLast58,CS101,A,98
dummy59@example.com,DummyFirst59,DummyLast59,CS101,A,99
dummy60@example.com,DummyFirst60,DummyLast60,CS101,A,70
dummy61@example.com,DummyFirst61,DummyLast61,CS101,A,71
dummy62@example.com,DummyFirst62,DummyLast62,CS101,A,72
dummy63@example.com,DummyFirst63,DummyLast63,CS101,A,73
dummy64@example.com,DummyFirst64,DummyLast64,CS101,A,74
dummy65@example.com,DummyFirst65,DummyLast65,CS101,A,75
dummy66@example.com,DummyFirst66,DummyLast66,CS101,A,76
dummy67@example.com,DummyFirst67,DummyLast67,CS101,A,77
dummy68@example.com,DummyFirst68,DummyLast68,CS101,A,78
dummy69@example.com,DummyFirst69,DummyLast69,CS101,A,79
dummy70@example.com,DummyFirst70,DummyLast70,CS101,A,80
dummy71@example.com,DummyFirst71,DummyLast71,CS101,A,81
dummy72@example.com,DummyFirst72,DummyLast72,CS101,A,82
dummy73@example.com,DummyFirst73,DummyLast73,CS101,A,83
dummy74@example.com,DummyFirst74,DummyLast74,CS101,A,84
dummy75@example.com,DummyFirst75,DummyLast75,CS101,A,85
dummy76@example.com,DummyFirst76,DummyLast76,CS101,A,86
dummy77@example.com,DummyFirst77,DummyLast77,CS101,A,87
dummy78@example.com,DummyFirst78,DummyLast78,CS101,A,88
dummy79@example.com,DummyFirst79,DummyLast79,CS101,A,89
dummy80@example.com,DummyFirst80,DummyLast80,CS101,A,90
dummy81@example.com,DummyFirst81,DummyLast81,CS101,A,91
dummy82@example.com,DummyFirst82,DummyLast82,CS101,A,92
dummy83@example.com,DummyFirst83,DummyLast83,CS101,A,93
dummy84@example.com,DummyFirst84,DummyLast84,CS101,A,94
dummy85@example.com,DummyFirst85,DummyLast85,CS101,A,95
dummy86@example.com,DummyFirst86,DummyLast86,CS101,A,96
dummy87@example.com,DummyFirst87,DummyLast87,CS101,A,97
dummy88@example.com,DummyFirst88,DummyLast88,CS101,A,98
dummy89@example.com,DummyFirst89,DummyLast89,CS101,A,99
dummy90@example.com,DummyFirst90,DummyLast90,CS101,A,70
dummy91@example.com,DummyFirst91,DummyLast91,CS101,A,71
dummy92@example.com,DummyFirst92,DummyLast92,CS101,A,72
dummy93@example.com,DummyFirst93,DummyLast93,CS101,A,73
dummy94@example.com,DummyFirst94,DummyLast94,CS101,A,74
dummy95@example.com,DummyFirst95,DummyLast95,CS101,A,75
dummy96@example.com,DummyFirst96,DummyLast96,CS101,A,76
dummy97@example.com,DummyFirst97,DummyLast97,CS101,A,77
dummy98@example.com,DummyFirst98,DummyLast98,CS101,A,78
dummy99@example.com,DummyFirst99,DummyLast99,CS101,A,79
vc@gmail.com,Viraat,Chaudhary,200,200,99
rk@mail.com,Rohan,Kumar,1,1,90
